address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354,"Rua Almaden, Vila Andrade, São Paulo, Brazil",-23.6371211,-46.7354833,85
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580,"Avenida Rio Branco, Campos Elíseos, São Paulo, Brazil",-23.1826439,-46.8971934,6
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232,"Rua Hanna Abduch, Vila Palmeiras, São Paulo, Brazil",-21.386477399999997,-49.3857034,2
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416,"Avenida Guarulhos, Ponte Grande, São Paulo, Brazil",-23.5053005,-46.5515896,113
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879,"Rua das Violetas, Vila Marina, São Paulo, Brazil",-23.6785885,-46.517501,21
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575,"Avenida Sapopemba, Jardim Utinga, São Paulo, Brazil",-23.6178427,-46.5187731,86
Avenida São João,República,31,1,0,Apartamento,1300,1350,"Avenida São João, República, São Paulo, Brazil",-23.5412952,-46.6421306,89
Rua Arruda Ferreira,Vila Guilherme,20,1,0,Apartamento,1100,1230,"Rua Arruda Ferreira, Vila Guilherme, São Paulo, Brazil",-23.513304,-46.6086746,122
Rua Aurora,Santa Ifigênia,31,1,0,Studio e kitnet,1075,1393,"Rua Aurora, Santa Ifigênia, São Paulo, Brazil",-23.5390263,-46.638775,89
Rua Torquato Tasso,Vila Prudente,60,2,0,Casa,1700,1773,"Rua Torquato Tasso, Vila Prudente, São Paulo, Brazil",-23.5789812,-46.5785982,123
Avenida Júlio Prestes,Vila Galvão,65,2,1,Apartamento,1500,2110,"Avenida Júlio Prestes, Vila Galvão, São Paulo, Brazil",-23.4583813,-46.5581779,90
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950,"Rua Arnaldo Cintra, Vila Moreira, São Paulo, Brazil",-20.264162,-50.250769,10
Rua Maranjaí,Vila Monumento,32,1,0,Casa,750,782,"Rua Maranjaí, Vila Monumento, São Paulo, Brazil",-23.5789474,-46.6165823,116
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102,"Rua Oscar Cintra Gordinho, Liberdade, São Paulo, Brazil",-23.558891,-46.6340727,60
