address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Avenida Prestes Maia,Centro,51,1,0,Studio e kitnet,1100,1581,"Avenida Prestes Maia, Centro, São Paulo, Brazil",-23.6852406,-46.6170349,140
Avenida Sanatório,Jardim Modelo,30,1,0,Casa,998,1080,"Avenida Sanatório, Jardim Modelo, São Paulo, Brazil",-23.4699489,-46.5657301,90
Rua Augusta,Consolação,50,1,0,Apartamento,1617,2102,"Rua Augusta, Consolação, São Paulo, Brazil",-23.5552085,-46.6571284,138
Rua Benvinda Aparecida de Abreu Leme,Santana,25,1,1,Studio e kitnet,2298,2622,"Rua Benvinda Aparecida de Abreu Leme, Santana, São Paulo, Brazil",-23.4980046,-46.6233132,135
Rua Vilela,Tatuapé,70,2,2,Apartamento,2700,3871,"Rua Vilela, Tatuapé, São Paulo, Brazil",-23.5414685,-46.5657155,53
Rua Girassol,Vila Madalena,40,1,1,Apartamento,3500,4521,"Rua Girassol, Vila Madalena, São Paulo, Brazil",-23.5495771,-46.693019,149
Rua do Lavapés,Cambuci,30,1,0,Apartamento,1500,1850,"Rua do Lavapés, Cambuci, São Paulo, Brazil",-23.5618326,-46.6229048,25
Rua Rio Grande,Vila Mariana,85,1,1,Apartamento,2700,3865,"Rua Rio Grande, Vila Mariana, São Paulo, Brazil",-23.5874461,-46.6429839,117
Rua Coelho Neto,Vila Prudente,36,1,0,Studio e kitnet,850,883,"Rua Coelho Neto, Vila Prudente, São Paulo, Brazil",-23.5838531,-46.5890818,123
Rua Maria Cândida,Vila Guilherme,100,3,2,Casa,2887,3009,"Rua Maria Cândida, Vila Guilherme, São Paulo, Brazil",-23.5020318,-46.6116809,65
Praça Júlio Mesquita,Santa Efigênia,70,2,0,Apartamento,3500,4135,"Praça Júlio Mesquita, Santa Efigênia, São Paulo, Brazil",-20.5329716,-47.42816,5
Rua Indaiá,Vila Prudente,75,3,1,Apartamento,2350,3318,"Rua Indaiá, Vila Prudente, São Paulo, Brazil",-23.5826038,-46.5844965,123
Praça Marechal Deodoro,Santa Cecilia,79,2,0,Apartamento,2500,3026,"Praça Marechal Deodoro, Santa Cecilia, São Paulo, Brazil",-23.5339468,-46.6551696,40
Rua Conselheiro Nébias,Campos Elíseos,43,1,0,Studio e kitnet,900,1403,"Rua Conselheiro Nébias, Campos Elíseos, São Paulo, Brazil",-23.1826439,-46.8971934,6
Rua Glicerio,Liberdade,45,2,1,Apartamento,2580,3283,"Rua Glicerio, Liberdade, São Paulo, Brazil",-23.5598143,-46.6311531,60
Rua Alencar Araripe,Sacomã,55,2,1,Apartamento,1600,2137,"Rua Alencar Araripe, Sacomã, São Paulo, Brazil",-23.6130408,-46.5972138,106
Rua Emboaçava,Parque da Mooca,45,1,1,Casa,2160,2292,"Rua Emboaçava, Parque da Mooca, São Paulo, Brazil",-23.5689272,-46.5913115,62
Rua Chile,Vila Santa Luzia,40,1,0,Studio e kitnet,1300,1350,"Rua Chile, Vila Santa Luzia, São Paulo, Brazil",-23.6607595,-46.6079548,78
Rua Costa Aguiar,Ipiranga,110,3,2,Casa,5500,5993,"Rua Costa Aguiar, Ipiranga, São Paulo, Brazil",-23.5777907,-46.6072392,116
Avenida Doutor Washington Luíz,Rudge Ramos,48,2,1,Apartamento,1700,2129,"Avenida Doutor Washington Luíz, Rudge Ramos, São Paulo, Brazil",-23.668424,-46.5647307,108
Rua Luís do Paço,Tatuapé,41,1,0,Apartamento,950,1567,"Rua Luís do Paço, Tatuapé, São Paulo, Brazil",-23.5329847,-46.5631686,53
Avenida Ipiranga,República,33,1,1,Studio e kitnet,1830,2241,"Avenida Ipiranga, República, São Paulo, Brazil",-23.5417553,-46.6396809,89
Avenida Rubens Fraga de Toledo Arruda,Engenheiro Goulart,45,1,0,Casa,1200,1251,"Avenida Rubens Fraga de Toledo Arruda, Engenheiro Goulart, São Paulo, Brazil",-23.50205665,-46.521772999999996,143
Rua Costa Carvalho,Pinheiros,70,2,0,Apartamento,2600,3361,"Rua Costa Carvalho, Pinheiros, São Paulo, Brazil",-23.5621066,-46.6991442,94
Rua Bento Freitas,República,36,1,0,Studio e kitnet,1900,2403,"Rua Bento Freitas, República, São Paulo, Brazil",-23.5457686,-46.6455851,89
Rua Guarapuava,Mooca,52,2,1,Apartamento,3070,3916,"Rua Guarapuava, Mooca, São Paulo, Brazil",-23.5477351,-46.6051291,99
Rua Maria do Carmo,Vila Alpina,42,2,0,Apartamento,2000,2211,"Rua Maria do Carmo, Vila Alpina, São Paulo, Brazil",-23.5985508,-46.561889,48
Rua Rondinha,Chácara Inglesa,70,2,1,Apartamento,3400,4656,"Rua Rondinha, Chácara Inglesa, São Paulo, Brazil",-23.6077818,-46.6335431,134
Avenida da Liberdade,Liberdade,27,1,0,Studio e kitnet,2000,2528,"Avenida da Liberdade, Liberdade, São Paulo, Brazil",-23.5577589,-46.6367199,60
Rua Salvador Mota,Vila Industrial,52,1,0,Casa,900,983,"Rua Salvador Mota, Vila Industrial, São Paulo, Brazil",-23.67551,-46.469692,21
Avenida Monte Celeste,Vila Santa Maria,40,1,0,Casa,804,895,"Avenida Monte Celeste, Vila Santa Maria, São Paulo, Brazil",-23.9400937,-46.3648813,34
Rua Natividade Saldanha,São Lucas,25,0,0,Studio e kitnet,1050,1314,"Rua Natividade Saldanha, São Lucas, São Paulo, Brazil",-23.5929294,-46.5565465,48
Avenida Ede,Vila Ede,57,2,1,Apartamento,1738,2462,"Avenida Ede, Vila Ede, São Paulo, Brazil",-23.4925308,-46.5907953,32
Rua Cícero Fernandes de Lyra,Jardim Santo Elias,180,2,5,Casa,4500,4698,"Rua Cícero Fernandes de Lyra, Jardim Santo Elias, São Paulo, Brazil",-23.4953922,-46.7493902,43
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,38,1,0,Casa em condomínio,1800,2857,"Rua Brigadeiro Tobias, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-46.9140397,19
Rua Carlos Weber,Vila Leopoldina,80,3,2,Apartamento,3576,4874,"Rua Carlos Weber, Vila Leopoldina, São Paulo, Brazil",-23.5314338,-46.727227,128
"Aclimação, São Paulo - Sp, 04109-120, Brasil",Aclimação,230,3,5,Casa,10550,11180,"Aclimação, São Paulo - Sp, 04109-120, Brasil, Aclimação, São Paulo, Brazil",-23.5773154,-46.6288402,76
Avenida Alcântara Machado,Brás,26,1,0,Studio e kitnet,800,1123,"Avenida Alcântara Machado, Brás, São Paulo, Brazil",-23.5520558,-46.6234252,99
Rua Croata,Vila Ipojuca,74,3,1,Apartamento,2504,3874,"Rua Croata, Vila Ipojuca, São Paulo, Brazil",-23.5308636,-46.7055185,52
Avenida Sapopemba,Sapopemba,42,1,0,Apartamento,1118,1191,"Avenida Sapopemba, Sapopemba, São Paulo, Brazil",-23.6054663,-46.5082973,86
Rua Tenente Inácio da Silveira,Mooca,85,2,1,Casa,3200,3685,"Rua Tenente Inácio da Silveira, Mooca, São Paulo, Brazil",-23.560357,-46.5989864,62
Rua Doutor Clemente Jobim,Jardim da Glória,29,1,0,Apartamento,2500,2986,"Rua Doutor Clemente Jobim, Jardim da Glória, São Paulo, Brazil",-23.5818382,-46.6163725,116
Avenida Basiléia,Lauzane Paulista,52,2,0,Apartamento,1450,2079,"Avenida Basiléia, Lauzane Paulista, São Paulo, Brazil",-23.4774474,-46.647413,145
Rua João Rudge,Casa Verde,79,2,2,Apartamento,4200,5022,"Rua João Rudge, Casa Verde, São Paulo, Brazil",-23.5140264,-46.6557123,112
Rua João Biancalana,Paulicéia,61,3,1,Apartamento,1650,2106,"Rua João Biancalana, Paulicéia, São Paulo, Brazil",-23.6675954,-46.5959372,78
Avenida Brigadeiro Luís Antônio,Bela Vista,45,1,1,Apartamento,2200,2734,"Avenida Brigadeiro Luís Antônio, Bela Vista, São Paulo, Brazil",-23.565969,-46.6479669,0
Rua Pixibás,Vila Gustavo,34,1,0,Casa,1038,1112,"Rua Pixibás, Vila Gustavo, São Paulo, Brazil",-23.4767141,-46.5990545,59
Rua Doutor Augusto de Miranda,Pompeia,60,2,1,Apartamento,3000,4031,"Rua Doutor Augusto de Miranda, Pompeia, São Paulo, Brazil",-23.5265753,-46.6865159,100
Rua General Chagas Santos,Vila da Saúde,32,1,1,Apartamento,2699,3593,"Rua General Chagas Santos, Vila da Saúde, São Paulo, Brazil",-23.6157566,-46.6272698,137
Avenida Senador Queirós,Centro Histórico de São Paulo,20,1,0,Studio e kitnet,1850,2551,"Avenida Senador Queirós, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-46.9140397,19
Rua Estado de Israel,Vila Clementino,43,1,1,Apartamento,4500,5248,"Rua Estado de Israel, Vila Clementino, São Paulo, Brazil",-23.5946781,-46.6410019,117
Rua Francisco Bernardino,Piqueri,125,3,3,Casa,2950,3075,"Rua Francisco Bernardino, Piqueri, São Paulo, Brazil",-23.4951356,-46.7152935,93
Avenida Corifeu de Azevedo Marques,Butantã,20,1,0,Studio e kitnet,1200,1266,"Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, Brazil",-23.5736167,-46.7324464,124
Rua Martins Fontes,Centro,40,1,1,Apartamento,2800,3668,"Rua Martins Fontes, Centro, São Paulo, Brazil",-23.181468,-45.871944,57
Rua Silva Teles,Brás,59,2,1,Apartamento,3100,3707,"Rua Silva Teles, Brás, São Paulo, Brazil",-23.5357967,-46.6163178,99
Rua Genebra,Bela Vista,25,1,0,Studio e kitnet,2764,3271,"Rua Genebra, Bela Vista, São Paulo, Brazil",-23.0718423,-47.2312011,28
Rua Monsenhor Andrade,Brás,80,2,0,Apartamento,2350,2942,"Rua Monsenhor Andrade, Brás, São Paulo, Brazil",-23.5431393,-46.6215997,99
Avenida Gaivota Preta,Jardim Valéria,50,2,1,Apartamento,950,1221,"Avenida Gaivota Preta, Jardim Valéria, São Paulo, Brazil",-23.4231043,-46.5338611,139
Avenida Portugal,Jardim Bela Vista,44,1,1,Apartamento,4600,4854,"Avenida Portugal, Jardim Bela Vista, São Paulo, Brazil",-23.6694704,-46.5392315,108
Avenida Vila Ema,Vila Ema,66,3,1,Apartamento,2800,3608,"Avenida Vila Ema, Vila Ema, São Paulo, Brazil",-23.5929572,-46.5392805,48
Rua Padre Marcos Simoni,Vila Ede,40,1,1,Casa,1324,1478,"Rua Padre Marcos Simoni, Vila Ede, São Paulo, Brazil",-23.4920982,-46.5897118,32
Avenida Barro Branco,Vila do Encontro,30,1,1,Casa,1200,1286,"Avenida Barro Branco, Vila do Encontro, São Paulo, Brazil",-23.6542068,-46.6366894,58
Avenida Rio Branco,Campos Elíseos,32,1,0,Apartamento,1300,1800,"Avenida Rio Branco, Campos Elíseos, São Paulo, Brazil",-23.1826439,-46.8971934,6
Rua Grapecica,Brooklin Paulista,190,4,2,Casa,6600,7300,"Rua Grapecica, Brooklin Paulista, São Paulo, Brazil",-23.600442,-46.6885746,83
Rua Heitor Peixoto,Cambuci,60,2,1,Apartamento,2300,3102,"Rua Heitor Peixoto, Cambuci, São Paulo, Brazil",-23.5760449,-46.6186901,116
Rua Pamplona,Jardim Paulista,81,1,1,Apartamento,3400,4373,"Rua Pamplona, Jardim Paulista, São Paulo, Brazil",-23.5689033,-46.6587983,79
Avenida General Valdomiro de Lima,Jabaquara,35,1,1,Apartamento,1790,2314,"Avenida General Valdomiro de Lima, Jabaquara, São Paulo, Brazil",-23.6399027,-46.6434851,58
Rua Major Dantas Cortez,Vila Gustavo,50,2,1,Apartamento,1780,2371,"Rua Major Dantas Cortez, Vila Gustavo, São Paulo, Brazil",-23.4849059,-46.5931083,59
Rua Voluntários da Pátria,Santana,28,1,0,Apartamento,1800,2329,"Rua Voluntários da Pátria, Santana, São Paulo, Brazil",-23.5182075,-46.6282649,65
Avenida Lacerda Franco,Cambuci,72,2,0,Apartamento,2200,3082,"Avenida Lacerda Franco, Cambuci, São Paulo, Brazil",-23.5640649,-46.6225479,25
Rua José Coimbra,Vila Andrade,61,2,1,Apartamento,1682,2647,"Rua José Coimbra, Vila Andrade, São Paulo, Brazil",-23.6224566,-46.7401488,85
Rua Pequetita,Vila Olímpia,36,1,1,Apartamento,3200,4242,"Rua Pequetita, Vila Olímpia, São Paulo, Brazil",-23.5921635,-46.685577,83
Rua Salvador Rosa,Jardim Previdência,34,1,1,Apartamento,1447,1503,"Rua Salvador Rosa, Jardim Previdência, São Paulo, Brazil",-23.623857,-46.6145554,136
Avenida Miguel Estéfno,Vila da Saúde,72,3,2,Apartamento,2100,3348,"Avenida Miguel Estéfno, Vila da Saúde, São Paulo, Brazil",-23.6243299,-46.6294015,137
Rua Cananéia,Vila Valparaíso,60,2,1,Apartamento,1500,2241,"Rua Cananéia, Vila Valparaíso, São Paulo, Brazil",-23.6714373,-46.5514156,108
Rua Águas Claras,Vila Pereira Cerca,90,2,5,Casa,1978,2062,"Rua Águas Claras, Vila Pereira Cerca, São Paulo, Brazil",-23.496257,-46.7111461,93
Rua Padre João Gualberto,Imirim,55,2,1,Apartamento,2300,3139,"Rua Padre João Gualberto, Imirim, São Paulo, Brazil",-23.4927048,-46.6461141,109
Avenida Damasceno Vieira,Vila Mascote,70,2,1,Apartamento,2200,3249,"Avenida Damasceno Vieira, Vila Mascote, São Paulo, Brazil",-23.6462516,-46.6646988,107
Rua Boacica,Cidade Patriarca,40,2,0,Apartamento,1600,1662,"Rua Boacica, Cidade Patriarca, São Paulo, Brazil",-23.528935,-46.5084151,92
Rua Cardeal Arcoverde,Pinheiros,48,2,1,Apartamento,3700,4930,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, Brazil",-23.5630281,-46.690661,41
Rua Leontina Atui Nogueira,Jardim Santo Amaro,70,2,2,Casa,2500,2756,"Rua Leontina Atui Nogueira, Jardim Santo Amaro, São Paulo, Brazil",-23.6554148,-46.7002836,118
Avenida do Anastácio,São Domingos,65,3,1,Apartamento,1990,2615,"Avenida do Anastácio, São Domingos, São Paulo, Brazil",-23.4943034,-46.736908,43
Rua Pedro Pires,Vila Carrao,38,1,0,Studio e kitnet,2000,2270,"Rua Pedro Pires, Vila Carrao, São Paulo, Brazil",-23.5533329,-46.53342,87
Rua das Aroeiras,Jardim,60,2,2,Apartamento,2300,2857,"Rua das Aroeiras, Jardim, São Paulo, Brazil",-23.6460761,-46.5403234,148
Avenida Ipiranga,Centro Histórico de São Paulo,30,1,0,Studio e kitnet,1850,2367,"Avenida Ipiranga, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-45.4014943,33
Alameda Santos,Cerqueira César,54,1,1,Apartamento,4400,5486,"Alameda Santos, Cerqueira César, São Paulo, Brazil",-23.5658624,-46.6532209,79
Rua Augusto Reginato,Vila Carrao,33,1,0,Studio e kitnet,1270,1514,"Rua Augusto Reginato, Vila Carrao, São Paulo, Brazil",-23.5579815,-46.5321098,87
Rua Ilíria,Vila Moinho Velho,32,1,0,Studio e kitnet,1700,2091,"Rua Ilíria, Vila Moinho Velho, São Paulo, Brazil",-23.6083257,-46.6036274,106
Rua Dom Joaquim de Oliveira,Cidade Patriarca,40,2,0,Apartamento,1500,1708,"Rua Dom Joaquim de Oliveira, Cidade Patriarca, São Paulo, Brazil",-23.5382451,-46.513549,13
Rua Vinte E Cinco de Dezembro,Canhema,50,1,0,Casa,790,854,"Rua Vinte E Cinco de Dezembro, Canhema, São Paulo, Brazil",-23.6755046,-46.6026856,78
Rua Filipe Cardoso,Cursino,141,3,3,Casa,6000,6707,"Rua Filipe Cardoso, Cursino, São Paulo, Brazil",-23.6327055,-46.6187794,136
Avenida Rouxinol,Indianópolis,45,1,1,Apartamento,3400,4455,"Avenida Rouxinol, Indianópolis, São Paulo, Brazil",-23.6052157,-46.6681606,47
Rua Doutor Plínio Barreto,Bela Vista,50,1,1,Apartamento,3150,3836,"Rua Doutor Plínio Barreto, Bela Vista, São Paulo, Brazil",-23.557311,-46.6516639,96
Rua Carlos Weber,Vila Leopoldina,88,2,2,Apartamento,4900,6364,"Rua Carlos Weber, Vila Leopoldina, São Paulo, Brazil",-23.5314338,-46.727227,128
Rua Gabus Mendes,República,98,2,0,Apartamento,3500,4622,"Rua Gabus Mendes, República, São Paulo, Brazil",-23.5447385,-46.6425988,89
Rua dos Andradas,Santa Efigênia,30,1,0,Studio e kitnet,747,1196,"Rua dos Andradas, Santa Efigênia, São Paulo, Brazil",-20.5329716,-47.42816,5
Rua Charles Darwin,Vila Santa Catarina,56,2,1,Apartamento,1470,2202,"Rua Charles Darwin, Vila Santa Catarina, São Paulo, Brazil",-23.6550349,-46.6575857,107
Rua Cancioneiro de Évora,Santo Amaro,73,2,1,Apartamento,2850,3885,"Rua Cancioneiro de Évora, Santo Amaro, São Paulo, Brazil",-23.630058,-46.6931242,102
Avenida Jabaquara,Mirandópolis,25,1,0,Studio e kitnet,2500,3176,"Avenida Jabaquara, Mirandópolis, São Paulo, Brazil",-23.6057703,-46.6372634,134
Rua São José,Santo Amaro,45,1,1,Apartamento,1600,2462,"Rua São José, Santo Amaro, São Paulo, Brazil",-23.6481403,-46.6972778,118
Rua Alves Guimarães,Pinheiros,32,1,0,Apartamento,4000,4609,"Rua Alves Guimarães, Pinheiros, São Paulo, Brazil",-23.5548413,-46.6788733,41
Rua Artur Prado,Bela Vista,51,1,1,Apartamento,3200,4239,"Rua Artur Prado, Bela Vista, São Paulo, Brazil",-23.564859,-46.6437258,0
Rua Martiniano de Carvalho,Bela Vista,42,1,0,Studio e kitnet,1500,1856,"Rua Martiniano de Carvalho, Bela Vista, São Paulo, Brazil",-23.5653931,-46.6427092,0
Rua Itapiru,Vila da Saúde,80,3,1,Apartamento,3500,4576,"Rua Itapiru, Vila da Saúde, São Paulo, Brazil",-23.6195372,-46.633608,137
Rua Coronel Jordão,Vila Guilherme,39,1,1,Apartamento,2047,2841,"Rua Coronel Jordão, Vila Guilherme, São Paulo, Brazil",-23.503012,-46.599915,122
Rua Cardeal Arcoverde,Pinheiros,55,2,1,Apartamento,3808,4862,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, Brazil",-23.5630281,-46.690661,41
Rua João Avelino Pinho Mellão,Paraisópolis,55,2,1,Apartamento,1670,2125,"Rua João Avelino Pinho Mellão, Paraisópolis, São Paulo, Brazil",-23.61503025,-46.7261686,55
Rua Eugênio Falk,Saúde,30,1,0,Studio e kitnet,1000,1038,"Rua Eugênio Falk, Saúde, São Paulo, Brazil",-23.6160294,-46.6096873,136
Rua Manuel Leiroz,Vila Penteado,45,2,0,Apartamento,1360,1863,"Rua Manuel Leiroz, Vila Penteado, São Paulo, Brazil",-23.46959695,-46.6840506,115
Praça da Bandeira,Centro Histórico de São Paulo,140,3,0,Apartamento,3500,4195,"Praça da Bandeira, Centro Histórico de São Paulo, São Paulo, Brazil",-23.4463127,-46.9140397,125
Avenida Engenheiro Armando de Arruda Pereira,Vila do Encontro,54,2,1,Apartamento,1800,2420,"Avenida Engenheiro Armando de Arruda Pereira, Vila do Encontro, São Paulo, Brazil",-23.6461068,-46.6408796,58
Rua Artur Prado,Bela Vista,26,1,0,Studio e kitnet,3000,3600,"Rua Artur Prado, Bela Vista, São Paulo, Brazil",-23.564859,-46.6437258,0
Rua Domingos de Morais,Vila Mariana,32,1,0,Apartamento,3380,3974,"Rua Domingos de Morais, Vila Mariana, São Paulo, Brazil",-23.5878672,-46.6355048,76
Rua Dona Ana Néri,Cambuci,37,2,1,Apartamento,1300,1740,"Rua Dona Ana Néri, Cambuci, São Paulo, Brazil",-23.5635635,-46.6176616,25
Rua Nova Aurora,Vila Guilhermina,30,1,0,Apartamento,1600,1812,"Rua Nova Aurora, Vila Guilhermina, São Paulo, Brazil",-23.5303798,-46.5133506,92
Rua Amambaí,Vila Maria,45,2,0,Apartamento,1300,1450,"Rua Amambaí, Vila Maria, São Paulo, Brazil",-23.5259203,-46.5914255,122
Rua Fortunato,Santa Cecília,58,2,1,Apartamento,2800,3847,"Rua Fortunato, Santa Cecília, São Paulo, Brazil",-23.5396024,-46.6515487,40
Rua Consolação,Consolação,43,1,1,Studio e kitnet,3380,4125,"Rua Consolação, Consolação, São Paulo, Brazil",-23.5475687,-46.6484067,89
Rua Ribeiro do Vale,Brooklin Paulista,50,1,0,Studio e kitnet,3600,4400,"Rua Ribeiro do Vale, Brooklin Paulista, São Paulo, Brazil",-23.600442,-46.6885746,83
Rua Catarina Vieira,Vila Dalila,44,2,0,Apartamento,2300,2559,"Rua Catarina Vieira, Vila Dalila, São Paulo, Brazil",-23.549063,-46.5180089,13
Rua Diogo Vaz,Cambuci,71,2,1,Apartamento,1850,2910,"Rua Diogo Vaz, Cambuci, São Paulo, Brazil",-23.562555,-46.6203464,25
Rua Brigadeiro Tobias,Centro Histórico de São Paulo,38,2,0,Apartamento,1500,2433,"Rua Brigadeiro Tobias, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-46.9140397,19
Rua Pascal,Campo Belo,70,2,2,Apartamento,6000,7604,"Rua Pascal, Campo Belo, São Paulo, Brazil",-23.6222314,-46.669954,132
Rua Otília,Vila Esperança,41,2,0,Apartamento,1600,1816,"Rua Otília, Vila Esperança, São Paulo, Brazil",-23.5263158,-46.5236943,70
Avenida Raimundo Pereira de Magalhães,Jardim Peri,46,2,1,Apartamento,2850,3260,"Avenida Raimundo Pereira de Magalhães, Jardim Peri, São Paulo, Brazil",-23.4581477,-46.6593929,145
Rua Rosacruz,Jardim Bom Clima,55,2,1,Apartamento,2900,3147,"Rua Rosacruz, Jardim Bom Clima, São Paulo, Brazil",-23.4577157,-46.5204883,42
Rua Doutor Bráulio Gomes,República,31,1,0,Apartamento,2200,2807,"Rua Doutor Bráulio Gomes, República, São Paulo, Brazil",-23.5462798,-46.6412473,89
Rua Catumbi,Catumbi,48,2,1,Studio e kitnet,3000,3539,"Rua Catumbi, Catumbi, São Paulo, Brazil",-23.5313951,-46.6018156,122
Rua Ana Cintra,Campos Elíseos,50,1,0,Apartamento,1300,2003,"Rua Ana Cintra, Campos Elíseos, São Paulo, Brazil",-23.1826439,-46.8971934,6
Rua Correia de Lemos,Chácara Inglesa,43,1,0,Apartamento,2500,2952,"Rua Correia de Lemos, Chácara Inglesa, São Paulo, Brazil",-23.6079079,-46.6324519,134
Rua do Lavapés,Cambuci,36,1,0,Apartamento,1429,2000,"Rua do Lavapés, Cambuci, São Paulo, Brazil",-23.5618326,-46.6229048,25
Rua Celso Ramos,Vila Andrade,47,2,1,Apartamento,4000,4504,"Rua Celso Ramos, Vila Andrade, São Paulo, Brazil",-23.6309112,-46.7370687,85
Alfredo Pujol,Santana,50,1,1,Apartamento,1600,2430,"Alfredo Pujol, Santana, São Paulo, Brazil",-23.4999644,-46.6272596,135
Rua Pequetita,Vila Olímpia,47,1,1,Apartamento,3200,4279,"Rua Pequetita, Vila Olímpia, São Paulo, Brazil",-23.5921635,-46.685577,83
Rua Valdir Niemeyer,Sumaré,30,1,0,Apartamento,3000,3425,"Rua Valdir Niemeyer, Sumaré, São Paulo, Brazil",-23.5456627,-46.6903905,149
Rua Alexandre Benois,Vila Andrade,46,2,1,Apartamento,2900,3562,"Rua Alexandre Benois, Vila Andrade, São Paulo, Brazil",-23.6360019,-46.7378043,85
Avenida Condessa Elizabeth de Robiano,Jardim América da Penha,39,2,1,Apartamento,1750,2378,"Avenida Condessa Elizabeth de Robiano, Jardim América da Penha, São Paulo, Brazil",-23.5118429,-46.5553794,113
Rua Soror Maria Celeste,Parque Sao Luis,39,1,0,Casa,1000,1042,"Rua Soror Maria Celeste, Parque Sao Luis, São Paulo, Brazil",-23.4765138,-46.6892565,115
Avenida Nove de Julho,Jardim Paulista,39,1,1,Apartamento,4800,4862,"Avenida Nove de Julho, Jardim Paulista, São Paulo, Brazil",-23.5745726,-46.667823,79
Avenida Cásper Líbero,Centro Histórico de São Paulo,25,1,0,Studio e kitnet,2500,3112,"Avenida Cásper Líbero, Centro Histórico de São Paulo, São Paulo, Brazil",-23.802029,-46.9140397,19
Rua Bueno de Andrade,Liberdade,28,1,1,Studio e kitnet,2461,3049,"Rua Bueno de Andrade, Liberdade, São Paulo, Brazil",-23.5654321,-46.6312965,60
Rua Cipriano Barata,Ipiranga,115,3,2,Apartamento,6800,8907,"Rua Cipriano Barata, Ipiranga, São Paulo, Brazil",-23.585603,-46.6054773,116
Avenida Portugal,Centro,40,1,0,Apartamento,2000,3797,"Avenida Portugal, Centro, São Paulo, Brazil",-23.6587338,-46.53131,148
Avenida Curió,Jardim Campanario,46,2,1,Apartamento,1284,1816,"Avenida Curió, Jardim Campanario, São Paulo, Brazil",-23.6599604,-46.6210394,140
Rua Bartira,Perdizes,32,1,0,Studio e kitnet,2800,3308,"Rua Bartira, Perdizes, São Paulo, Brazil",-23.5387731,-46.6715138,130
Rua Cândido Vale,Tatuapé,55,2,1,Apartamento,3500,4261,"Rua Cândido Vale, Tatuapé, São Paulo, Brazil",-23.5366272,-46.568605,53
Rua Girassol,Vila Madalena,25,1,0,Studio e kitnet,2600,3334,"Rua Girassol, Vila Madalena, São Paulo, Brazil",-23.5495771,-46.693019,149
Rua Oscar Freire,Pinheiros,54,1,0,Apartamento,5000,5743,"Rua Oscar Freire, Pinheiros, São Paulo, Brazil",-23.5507537,-46.6787992,41
Rua Clementine Brenne,Morumbi,37,2,0,Apartamento,1850,2331,"Rua Clementine Brenne, Morumbi, São Paulo, Brazil",-23.6070591,-46.7228122,55
Rua da Consolação,Jardim Paulista,40,1,1,Apartamento,2700,3658,"Rua da Consolação, Jardim Paulista, São Paulo, Brazil",-23.556202,-46.6635397,138
Rua Dom Sebastião do Rego,Vila Gumercindo,25,1,0,Studio e kitnet,1654,1967,"Rua Dom Sebastião do Rego, Vila Gumercindo, São Paulo, Brazil",-23.6040871,-46.6222517,44
Rua da União,Vila Mariana,27,1,0,Apartamento,1900,1928,"Rua da União, Vila Mariana, São Paulo, Brazil",-23.582022,-46.6329027,76
Rua Álvaro Guimarães,Bela Vista,33,1,1,Studio e kitnet,3500,4642,"Rua Álvaro Guimarães, Bela Vista, São Paulo, Brazil",-23.5707315,-46.641257,0
Rua Eugênia S Vitale,Taboão,53,2,1,Apartamento,2000,2782,"Rua Eugênia S Vitale, Taboão, São Paulo, Brazil",-23.6607595,-46.6086397,78
Rua Nelson Gama de Oliveira,Vila Andrade,80,2,2,Apartamento,4000,5086,"Rua Nelson Gama de Oliveira, Vila Andrade, São Paulo, Brazil",-23.6288692,-46.7403069,85
Avenida Aparecida do Rio Negro,Jardim Iris,42,2,1,Apartamento,1600,2181,"Avenida Aparecida do Rio Negro, Jardim Iris, São Paulo, Brazil",-23.5005468,-46.7189087,93
Rua Domingos de Morais,Vila Mariana,33,1,0,Apartamento,2500,3105,"Rua Domingos de Morais, Vila Mariana, São Paulo, Brazil",-23.5878672,-46.6355048,76
Rua Celso Ramos,Vila Andrade,81,3,2,Apartamento,3475,4434,"Rua Celso Ramos, Vila Andrade, São Paulo, Brazil",-23.6309112,-46.7370687,85
Rua Genebra,Bela Vista,33,1,1,Studio e kitnet,1938,2634,"Rua Genebra, Bela Vista, São Paulo, Brazil",-23.0718423,-47.2312011,28
Praça Júlio Mesquita,Republica,65,2,1,Apartamento,5000,6138,"Praça Júlio Mesquita, Republica, São Paulo, Brazil",-23.5409045,-46.6428237,89
Rua Said Aiach,Paraíso,56,1,1,Apartamento,4800,6458,"Rua Said Aiach, Paraíso, São Paulo, Brazil",-23.5774783,-46.6453823,0
Rua Francisco Estácio Fortes,Santa Cecília,75,2,0,Apartamento,2350,2836,"Rua Francisco Estácio Fortes, Santa Cecília, São Paulo, Brazil",-23.5332379,-46.6599199,40
Rua Bela Flor,Vila Mariana,80,3,1,Apartamento,2399,3600,"Rua Bela Flor, Vila Mariana, São Paulo, Brazil",-23.5842266,-46.6387604,117
